feature,value_auc,category_rate_auc,missingness_auc,value_auc_sep,category_rate_auc_sep,missingness_auc_sep,flagged
F3912,0.9874876728374489,0.9874876728374489,,0.9874876728374489,0.9874876728374489,,True
F448,0.1386968085106383,,0.5673958037584301,0.8613031914893617,,0.5673958037584301,False
F451,0.1391843971631206,,0.5673958037584301,0.8608156028368794,,0.5673958037584301,False
F450,0.14114238410596028,,0.5636184456871047,0.8588576158940397,,0.5636184456871047,False
F453,0.14155629139072848,,0.5636184456871047,0.8584437086092715,,0.5636184456871047,False
F142,0.14308510638297872,,0.5673958037584301,0.8569148936170212,,0.5673958037584301,False
F144,0.1456033848417954,,0.5636184456871047,0.8543966151582045,,0.5636184456871047,False
F139,0.1487145390070922,,0.5673958037584301,0.8512854609929078,,0.5673958037584301,False
F141,0.15103016924208978,,0.5636184456871047,0.8489698307579102,,0.5636184456871047,False
F3811,0.1727071477654746,,,0.8272928522345254,,,False
F3805,0.17573904682744443,,,0.8242609531725555,,,False
F3799,0.18211556740609067,,,0.8178844325939093,,,False
F1813,0.18374437569724886,,0.49977780246639264,0.8162556243027511,,0.5002221975336074,False
F2483,0.1846672805893658,,0.5746597428817923,0.8153327194106342,,0.5746597428817923,False
F1921,0.18753674309229865,,0.499277858015776,0.8124632569077014,,0.500722141984224,False
F2480,0.18831077834721333,,0.5746597428817923,0.8116892216527867,,0.5746597428817923,False
F1705,0.18851250627990676,,0.4996111543161871,0.8114874937200932,,0.5003888456838129,False
F1057,0.1893992758190289,,0.49944450616598157,0.8106007241809711,,0.5005554938340184,False
F949,0.19014269324044875,,0.4991112098655705,0.8098573067595513,,0.5008887901344294,False
F2029,0.19030656926291054,,0.4996111543161871,0.8096934307370894,,0.5003888456838129,False
F1165,0.19135185116590459,,0.4998889012331963,0.8086481488340954,,0.5001110987668037,False
F1597,0.19198231386704906,,0.499277858015776,0.8080176861329509,,0.500722141984224,False
F3806,0.19572790951896976,,,0.8042720904810302,,,False
F3800,0.19584175146520072,,,0.8041582485347993,,,False
F1814,0.1959569513568995,,0.49977780246639264,0.8040430486431005,,0.5002221975336074,False
F3801,0.19818305510635992,,,0.8018169448936401,,,False
F2137,0.19829243492686863,,0.49977780246639264,0.8017075650731313,,0.5002221975336074,False
F3807,0.19964379815137137,,,0.8003562018486287,,,False
F3813,0.20684052937876587,,,0.7931594706212342,,,False
F1166,0.2071499028012715,,0.4998889012331963,0.7928500971987285,,0.5001110987668037,False
F2138,0.2085516845807313,,0.49977780246639264,0.7914483154192686,,0.5002221975336074,False
F3812,0.20873880954242394,,,0.791261190457576,,,False
F1706,0.20925884746209408,,0.4996111543161871,0.7907411525379059,,0.5003888456838129,False
F1489,0.20929897560634309,,0.4998889012331963,0.790701024393657,,0.5001110987668037,False
F2030,0.20939268154078028,,0.4996111543161871,0.7906073184592197,,0.5003888456838129,False
F1815,0.21121443773438883,,0.49977780246639264,0.7887855622656111,,0.5002221975336074,False
F1381,0.21225271911142968,,0.49944450616598157,0.7877472808885704,,0.5005554938340184,False
F1819,0.21432109743028196,,0.49977780246639264,0.7856789025697181,,0.5002221975336074,False
F1825,0.21432109743028196,,0.49977780246639264,0.7856789025697181,,0.5002221975336074,False
F1490,0.21525917145800838,,0.4998889012331963,0.7847408285419917,,0.5001110987668037,False
F1058,0.217303723476563,,0.49944450616598157,0.782696276523437,,0.5005554938340184,False
F2384,0.21980392156862746,,0.5783746936211478,0.7801960784313725,,0.5783746936211478,False
F1273,0.22062078773264082,,0.4991112098655705,0.7793792122673592,,0.5008887901344294,False
F1382,0.22583145559825943,,0.49944450616598157,0.7741685444017405,,0.5005554938340184,False
F410,0.22719421699078812,,0.5591607791178209,0.7728057830092119,,0.5591607791178209,False
F1171,0.22769470956306528,,0.4998889012331963,0.7723052904369347,,0.5001110987668037,False
F1177,0.22769470956306528,,0.4998889012331963,0.7723052904369347,,0.5001110987668037,False
F1821,0.2279607605827457,,0.49977780246639264,0.7720392394172543,,0.5002221975336074,False
F1827,0.2279607605827457,,0.49977780246639264,0.7720392394172543,,0.5002221975336074,False
F1922,0.22818215782909448,,0.499277858015776,0.7718178421709055,,0.500722141984224,False
F1707,0.2285364454217764,,0.4996111543161871,0.7714635545782236,,0.5003888456838129,False
F1711,0.22873136274663217,,0.4996111543161871,0.7712686372533678,,0.5003888456838129,False
F1717,0.22873136274663217,,0.4996111543161871,0.7712686372533678,,0.5003888456838129,False
F169,0.7702561117578579,,0.5645696431535042,0.7702561117578579,,0.5645696431535042,False
F2284,0.23029107943625882,,0.5746597428817923,0.7697089205637412,,0.5746597428817923,False
F1598,0.23244504332250956,,0.499277858015776,0.7675549566774904,,0.500722141984224,False
F1933,0.23374650425533083,,0.499277858015776,0.7662534957446692,,0.500722141984224,False
F1927,0.23374650425533083,,0.499277858015776,0.7662534957446692,,0.500722141984224,False
F1609,0.2343234051437582,,0.499277858015776,0.7656765948562418,,0.500722141984224,False
F1603,0.2343234051437582,,0.499277858015776,0.7656765948562418,,0.500722141984224,False
F2143,0.23476549796434204,,0.49977780246639264,0.7652345020356579,,0.5002221975336074,False
F2149,0.23476549796434204,,0.49977780246639264,0.7652345020356579,,0.5002221975336074,False
F950,0.23486263113419487,,0.4991112098655705,0.7651373688658052,,0.5008887901344294,False
F407,0.23519063459570114,,0.5591607791178209,0.7648093654042989,,0.5591607791178209,False
F2035,0.23573054189761622,,0.4996111543161871,0.7642694581023838,,0.5003888456838129,False
F2041,0.23573054189761622,,0.4996111543161871,0.7642694581023838,,0.5003888456838129,False
F1501,0.23699341079049938,,0.4998889012331963,0.7630065892095006,,0.5001110987668037,False
F1495,0.23699341079049938,,0.4998889012331963,0.7630065892095006,,0.5001110987668037,False
F1069,0.2375111737251655,,0.49944450616598157,0.7624888262748345,,0.5005554938340184,False
F1063,0.2375111737251655,,0.49944450616598157,0.7624888262748345,,0.5005554938340184,False
F955,0.23926090809785855,,0.4991112098655705,0.7607390919021415,,0.5008887901344294,False
F961,0.23926090809785855,,0.4991112098655705,0.7607390919021415,,0.5008887901344294,False
F2472,0.23980891719745223,,0.46443536452054024,0.7601910828025478,,0.5355646354794598,False
F2287,0.24128163036515055,,0.5746597428817923,0.7587183696348494,,0.5746597428817923,False
F1599,0.24367400704368514,,0.499277858015776,0.7563259929563149,,0.500722141984224,False
